PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Dylan Cease,P,CWS,@KC,Yes,8900,29.7,3.3,32.2,3.6,24.1,2.7,W 8 L-R
Danny Duffy,P,KC,CWS,Yes,8000,26.2,3.3,30.6,3.8,27.6,3.5,W 8 L-R
Taijuan Walker,P,TOR,@BOS,Yes,9200,25.4,2.8,37.2,4.0,30.7,3.3,W 4 R-L
Martin Perez,P,BOS,TOR,Yes,6700,22.6,3.4,19.8,3.0,20.0,3.0,W 4 R-L
Rafael Devers,3B,BOS,TOR,2,3500,13.4,3.8,17.6,5.0,10.5,3.0,W 4 R-L
Cavan Biggio,2B,TOR,@BOS,1,3800,13.0,3.4,6.3,1.7,12.2,3.2,W 4 R-L
J.D. Martinez,OF,BOS,TOR,4,3300,12.9,3.9,7.4,2.3,9.0,2.7,W 4 R-L
Xander Bogaerts,SS,BOS,TOR,3,3800,12.7,3.3,18.2,4.8,11.4,3.0,W 4 R-L
Lourdes Gurriel,OF,TOR,@BOS,6,2900,12.7,4.4,13.0,4.5,9.4,3.3,W 4 R-L
Tim Anderson,SS,CWS,@KC,1,3700,12.6,3.4,8.6,2.3,13.0,3.5,W 8 L-R
Jose Abreu,C1,CWS,@KC,3,3800,12.5,3.3,8.8,2.3,13.4,3.5,W 8 L-R
Edwin Encarnacion,C1,CWS,@KC,5,2900,12.3,4.2,8.1,2.8,8.0,2.8,W 8 L-R
Teoscar Hernandez,OF,TOR,@BOS,4,3900,12.1,3.1,8.7,2.2,13.0,3.3,W 4 R-L
Jonathan Villar,2B,TOR,@BOS,3,3000,11.9,4.0,3.7,1.2,8.7,2.9,W 4 R-L
Randal Grichuk,OF,TOR,@BOS,2,3400,11.8,3.5,5.6,1.7,12.2,3.6,W 4 R-L
Hunter Dozier,OF,KC,CWS,2,3100,11.3,3.7,13.0,4.2,11.8,3.8,W 8 L-R
Yoan Moncada,3B,CWS,@KC,2,3400,11.3,3.3,9.3,2.7,9.8,2.9,W 8 L-R
Eloy Jimenez,OF,CWS,@KC,6,3800,11.2,3.0,4.4,1.2,11.7,3.1,W 8 L-R
Alex Verdugo,OF,BOS,TOR,1,2900,11.1,3.8,16.0,5.5,11.1,3.8,W 4 R-L
Vladimir Guerrero,C1,TOR,@BOS,5,3300,11.1,3.4,6.3,1.9,9.6,2.9,W 4 R-L
Derek Fisher,OF,TOR,@BOS,9,2100,11.1,5.3,2.0,1.0,4.1,2.0,W 4 R-L
Whit Merrifield,OF,KC,CWS,1,3500,11.0,3.1,8.0,2.3,11.8,3.4,W 8 L-R
